ka2.util.lor|ka2.util.lor_id|ka2.util.bezirk_name|ka2.util.lor_name|ka2.util.bezirksregion_name
422|12103219|Reinickendorf|Schäfersee|Ost 2 Alt-Reinickendorf
423|12103220|Reinickendorf|Humboldtstraße|Ost 2 Alt-Reinickendorf
424|12214125|Reinickendorf|Waldidyll/Flughafensee|West 1 Tegel-Süd/Flughafensee
425|12214126|Reinickendorf|Tegel Süd|West 1 Tegel-Süd/Flughafensee
426|12214421|Reinickendorf|Reinickes Hof|West 4 - Auguste-Viktoria-Allee
427|12214422|Reinickendorf|Klixstraße|West 4 - Auguste-Viktoria-Allee
428|12214423|Reinickendorf|Mellerbogen|West 4 - Auguste-Viktoria-Allee
429|12214424|Reinickendorf|Scharnweberstraße|West 4 - Auguste-Viktoria-Allee
430|12214527|Reinickendorf|Alt-Tegel|West 5 - Tegel/Tegeler Forst
431|12214528|Reinickendorf|Tegeler Forst|West 5 - Tegel/Tegeler Forst
432|12224229|Reinickendorf|Konradshöhe/Tegelort|West 2 - Heiligensee/Konradshöhe
433|12224230|Reinickendorf|Heiligensee|West 2 - Heiligensee/Konradshöhe
434|12231101|Reinickendorf|Hermsdorf|Nord 1 - Frohnau/Hermsdorf
435|12231102|Reinickendorf|Frohnau|Nord 1 - Frohnau/Hermsdorf
436|12301203|Reinickendorf|Wittenau Süd|Nord 2 - Waidmannslust/Wittenau/Lübars
437|12301204|Reinickendorf|Wittenau Nord|Nord 2 - Waidmannslust/Wittenau/Lübars
438|12301205|Reinickendorf|Waidmannslust|Nord 2 - Waidmannslust/Wittenau/Lübars
439|12301206|Reinickendorf|Lübars|Nord 2 - Waidmannslust/Wittenau/Lübars
440|12302107|Reinickendorf|Schorfheidestraße|MV 1 - Märkisches Viertel
441|12302108|Reinickendorf|Märkisches Zentrum|MV 1 - Märkisches Viertel
442|12302109|Reinickendorf|Treuenbrietzener Straße|MV 1 - Märkisches Viertel
443|12302110|Reinickendorf|Dannenwalder Weg|MV 1 - Märkisches Viertel
444|12302211|Reinickendorf|Lübarser Straße|MV 2 - Rollbergesiedlung
445|12302212|Reinickendorf|Rollbergesiedlung|MV 2 - Rollbergesiedlung
446|12304313|Reinickendorf|Borsigwalde|West 3 - Borsigwalde/Freie Scholle
447|12304314|Reinickendorf|Ziekowstraße/Freie Scholle|West 3 - Borsigwalde/Freie Scholle
